animal,.csv,.html,.json,.md,.txt,.txt1,.yml
aardvark,25,25,11,11,15,11,9
addax,3,1,,3,1,1,2
african elephant,,2,,2,,6,
african grey parrot,,,2,1,,1,
agama,,,,1,,,
agouti,1,,,,,,
albatross,8,,1,2,4,1,
alligator,77,16,40,40,72,8,29
alpaca,19,1,3,4,19,3,1
alpacas,1,,,,,,
american alligator,,,,1,,,
amur leopard,,,,1,,,
anaconda,10,,3,1,6,2,1
ancient white dolphin,,1,,,,,
and mountain goat,1,,,,,,
andean condor,,1,,,,,
anemone,2,,,1,1,,
angelfish,3,,,,,,
anglerfish,1,,,,,,
animal names,,1,,,,,
animals,,,,1,,,
animaltype,1,,,,,,
anole,3,,,1,,,
ant,20,5,9,8,18,,
anteater,23,2,1,2,11,2,1
antelope,23,9,9,13,21,2,3
antã­lope,,1,,,,,
arctic fox,7,1,,1,1,4,1
arctic hare,,,,,,1,
arctic seal,,,,,,1,
armadillo,86,23,23,37,75,36,24
armadillos,,1,,,,,
arowana,1,,,,,,
asian elephant,,,,2,,,
atlantic puffin,,,,2,,,
atlantic salmon,,,1,,,,
auk,1,,1,,,,
auklet,,1,,1,,,
australian kangaroo,,1,,,,2,
australian zebra finch,,,,1,,,
axolotl,12,12,15,24,4,19,10
axolotls,,1,,,,,
ayantimi,,1,,,,,
aye aye,1,3,1,,1,1,
aye-aye,1,3,1,1,,3,1
ayres' hawk,,1,,,,,
azure turtle,,1,,,,,
baboon,12,2,,1,10,,
badger,37,9,5,7,36,10,9
bald eagle,7,2,6,2,3,2,
ball python,,,,1,,,
baltimore oriole,,,,,1,,
banana leaf frog,,1,,,,,
bandicoot,1,,,,,,
barb,1,,,,,,
barn owl,,,,1,,,
barnaby badger,,,,,1,,
barnacle,,,,,1,,
barracuda,1,,,,1,,
barracudas,,1,,,,,
basilisk,,,1,,,,
bass,1,,,,,,
bat,12,7,7,16,19,5,7
baxter,,,,,,1,
bear,222,239,181,218,220,235,185
beaver,36,7,5,4,20,1,
bee,12,4,9,7,15,,
beetle,15,3,1,2,5,,1
bengal cat,,1,,,,,
bengal tiger,,,,2,,6,
bernice lemur,,,,,1,,
betta,4,,,,,,
bilby,1,,,,,,
binturong,1,2,1,1,1,,
binx,1,,,,,,
bird,25,15,16,20,12,7,16
bison,36,7,8,8,32,4,2
black bear,4,,,,,,
black rhinoceros,,2,,1,,,
black-footed ferret,,,,1,,,
blue agama,,1,,,,,
blue dragon,,3,,1,,,
blue jay,3,4,,2,1,4,
blue poison dart frog,,1,2,1,,1,
blue poison frog,,,,,,1,
blue tang,,,,,,,1
blue whale,3,1,2,,3,2,
bluebird,2,,,,,1,
bluejay,,,1,1,,1,
boa,2,,,,2,,
boa constrictor,1,1,,1,1,,
boar,,,1,,,,
bobcat,3,,,,1,1,1
bongo,,,,1,,,
bonobo,3,,,,,,
boris,,,1,,,,
box turtle,,,1,,,,
bright peacock,,1,,,,,
brown bear,4,2,2,1,2,,
brown hyena,,1,,,,,
bruiser,,,1,,,,
bruno,1,,,,,,
bubbles,,,,2,,1,1
bucky,,,1,,,,
buffalo,20,3,5,6,25,1,2
bull,,2,1,,,,
bulldog,,,,1,2,,
bullfrog,1,,,1,,,
butterfly,27,14,12,15,30,1,3
butterflyfish,1,,,,,1,
buzzard,,,,1,,,
caiman,,1,,,,,
calf,1,,,,,,
camel,50,17,49,24,77,9,6
cameleon,,1,,,,,
camelid,1,,,,,,
camels,3,,,,,,
canary,10,,1,2,5,,
cangaroo,,,,1,,,
capuchin monkey,2,,,,1,,
capybara,18,12,6,1,10,1,2
capybaras,,1,,,,,
caracal,2,1,,,,,
cardinal,4,,,,,,
caribou,9,,,,6,,1
carp,5,,,1,1,,
caspian,1,,,,,,
cassowary,4,6,2,2,6,,2
cat,140,43,70,132,123,71,109
caterpillar,4,,1,3,8,,
catfish,4,3,,,,,
cats,,,,1,,,
centipede,8,,1,,2,,
chameleon,56,48,22,54,39,38,31
cheeta,,1,,,,,
cheetah,258,181,223,208,258,221,205
cheeto,,,1,,,1,
cherry laurel moth,,,,,1,,
chick,1,,,,,,
chickadee,1,,,1,,,
chicken,22,5,1,1,5,1,4
chihuahua,,1,,,1,,
chimpanzee,59,29,28,44,69,49,61
chinchilla,13,4,5,10,5,14,12
chinchillas,,1,,,,,
chinese water dragon,,1,,,,,
chipmunk,5,,5,2,6,1,
cicada,1,,,,,,
cichlid,1,,,,,,
civet,3,1,,,,,
clam,2,,,,,,
clementine raccoon,,,,,1,,
cleo,,,,,,1,
clownfish,16,,1,,,,
coati,,,1,,1,2,
cobra,9,5,3,4,12,9,6
cockatoo,1,,2,1,1,,
cockroach,,,,1,,,
cocoa,,,,1,,,
cod,,1,,,,,
comet fish,,,,,,1,
common octopus,,1,,,,,
common toad,,1,,,,,
comodo dragon,1,,,,,,
coral,7,,,,2,,
coral trout,1,,1,,,,
cormorant,2,,,1,1,,
coscer,1,,,,,,
couchant falcon,,,,,1,,
cougar,10,,1,1,3,,
cow,41,16,4,5,19,1,6
cowbird,1,,,,,,
coyote,13,,3,2,16,,
coypu,1,,,,,,
crab,51,10,5,20,49,,5
crane,3,,,,,1,
creamsicle coral,,,,1,,,
crested crane,,,,1,,,
cricket,4,,,1,,,
crimson otter,,1,,,,,
croco,1,,,,,,
crocodile,132,60,93,128,141,106,130
crocoâ­dile,1,,1,,,,
crow,20,3,,3,18,,
crows,,,,1,,,
cuddles,,,,,,1,
curlew,1,,,,,,
cuttlefish,9,,1,2,2,2,
dachshund,,,,1,,,
daisy,,,1,,,,
dall sheep,,,3,,,,
dalmatian,,1,,,,,
deer,102,74,62,84,101,62,54
dhole,,,1,1,,,
digger,1,,,,,,
dik-dik,,,,,,1,
dingo,4,1,2,1,3,,1
dinosaur,,,,,,,1
diplodocus,,1,,,,,
discus,1,,,,,,
dodo,2,,,,1,,
dog,130,45,69,122,118,68,100
dolphin,157,97,187,196,230,179,217
dolphins,,,,,,1,
donkey,63,32,10,22,54,8,14
dove,3,1,,,1,,1
dragonfly,27,8,3,6,23,,
dromedary,1,,1,,,1,
dromedary camel,,,,1,,,
drone,1,,,,,,
duck,30,7,1,6,14,,3
dugong,3,3,4,9,6,4,1
duiker,1,,,,,,
duke,,,,,,1,
eagle,76,21,69,81,104,49,63
earthworm,1,,,,,,
eastern gray squirrel,,,,,,1,
eastern grey kangaroo,,1,,,,,
eastern tiger salamander,,,,1,,,
echidna,9,10,5,5,4,,3
eel,5,4,1,4,4,2,4
egret,,,,,1,,
elefante,,1,,,,,
elephant,404,391,399,369,397,370,394
elephant seal,3,4,1,2,2,,1
elk,7,,,1,6,,
emperor penguin,,1,1,1,,2,
emu,9,3,1,4,6,,
eskimo dog,,1,,,,,
esquimau,1,,,,,,
european hedgehog,,1,,1,,,
european polecat,,1,,,,,
european robin,,,,1,,,
falcon,108,64,78,82,124,51,61
fang,,1,,,,,
fast fox,1,,,,,,
fennec,11,6,14,12,14,15,15
fennec fox,16,24,26,18,14,10,6
fennec foxes,,1,,,,,
ferret,7,4,,1,2,1,
fido,1,,1,,1,1,
finch,5,,,1,3,,
finn,2,,1,,1,,
finnley,,,1,,1,,
finnley falcon,,,,,1,,
fish,22,13,5,9,9,5,8
fjord,,,,1,,,
flamingo,71,26,33,53,54,53,38
fluffy,1,,1,1,,5,1
fly,2,,,,1,,
flying squirrel,,1,,,,,
foal,,,,1,1,,
