animal,animals,animals_hard,animals_random,animals_random_hard
aardvark,11,7,30,59
addax,,1,1,9
african elephant,,,10,
african grey parrot,,,4,
agama,,,1,
agouti,,1,,
albatross,6,5,4,1
alligator,126,106,35,15
alpaca,25,16,7,2
alpacas,,1,,
american alligator,,,,1
amur leopard,,,1,
anaconda,8,4,6,5
ancient white dolphin,,,1,
and mountain goat,1,,,
andean condor,,,1,
anemone,3,,,1
angelfish,3,,,
anglerfish,,,1,
animal names,,,1,
animals,1,,,
animaltype,1,,,
anole,1,,2,1
ant,35,20,5,
anteater,21,8,10,3
antelope,24,20,18,18
antã­lope,,,1,
arctic fox,4,1,10,
arctic hare,,,1,
arctic seal,,,1,
armadillo,53,30,147,74
armadillos,,,,1
arowana,1,,,
asian elephant,,,,2
atlantic puffin,,,1,1
atlantic salmon,,,1,
auk,,,1,1
auklet,,,1,1
australian kangaroo,,,3,
australian zebra finch,,,1,
axolotl,1,,45,50
axolotls,,,,1
ayantimi,,,,1
aye aye,,,,7
aye-aye,,,3,7
ayres' hawk,,,1,
azure turtle,,,1,
baboon,10,9,3,3
badger,13,15,50,35
bald eagle,5,2,11,4
ball python,,,,1
baltimore oriole,,,1,
banana leaf frog,,,1,
bandicoot,,1,,
barb,1,,,
barn owl,,,,1
barnaby badger,,,1,
barnacle,,,1,
barracuda,1,,1,
barracudas,,,,1
basilisk,,,1,
bass,,,1,
bat,19,29,8,17
baxter,,,1,
bear,617,637,114,132
beaver,30,24,18,1
bee,23,19,5,
beetle,15,6,5,1
bengal cat,,,1,
bengal tiger,,,7,1
bernice lemur,,,1,
betta,4,,,
bilby,1,,,
binturong,,,4,2
binx,,,1,
bird,58,49,4,
bison,38,27,22,10
black bear,4,,,
black rhinoceros,,,3,
black-footed ferret,,,,1
blue agama,,,1,
blue dragon,,,3,1
blue jay,1,1,10,2
blue poison dart frog,,,5,
blue poison frog,,,1,
blue tang,,,1,
blue whale,2,,6,3
bluebird,1,,1,1
bluejay,,,3,
boa,1,2,,1
boa constrictor,,1,2,1
boar,,,1,
bobcat,2,2,2,
bongo,,,1,
bonobo,2,1,,
boris,,,1,
box turtle,1,,,
bright peacock,,,1,
brown bear,8,1,1,1
brown hyena,,,1,
bruiser,,,1,
bruno,,,1,
bubbles,,,4,
bucky,,,1,
buffalo,31,23,5,3
bull,1,1,,1
bulldog,1,1,1,
bullfrog,,,1,1
butterfly,43,31,20,8
butterflyfish,1,,1,
buzzard,,1,,
caiman,,,1,
calf,,,1,
camel,61,76,43,52
cameleon,,,,1
camelid,,1,,
camels,2,1,,
canary,10,6,1,1
cangaroo,,,1,
capuchin monkey,2,1,,
capybara,4,1,29,16
capybaras,,,,1
caracal,1,1,1,
cardinal,2,1,1,
caribou,9,3,4,
carp,5,1,1,
caspian,,,1,
cassowary,2,3,7,10
cat,296,312,22,58
caterpillar,8,7,1,
catfish,2,1,2,2
cats,,1,,
centipede,7,2,2,
chameleon,54,37,123,74
cheeta,,1,,
cheetah,382,361,445,366
cheeto,,,2,
cherry laurel moth,,,,1
chick,1,,,
chickadee,1,1,,
